,model_name,RMSE_train_score,RMSE_eval_score
0,Lasso,5.060844498927181,5.023741852082916
1,RF,1.9063074140129623,5.092431696801149
2,GBM,4.7334507381728725,4.911022816969604
3,SVM,9.232784297188891,9.127026270874978
4,LR,5.060817332168945,5.024159382021524
5,DTR,0.0,7.225769771416652
6,AB,6.498687902688595,6.4912104482982995
7,Ridge,5.061279330119806,5.023706601310963
8,ENet,5.061899770153474,5.023906340948033
